#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         653     1.74173     2.01525    0.018087
         654     1.73989     2.01483   0.0180642
         655     1.73805     2.01441   0.0180416
         656     1.73621     2.01399   0.0180191
         657     1.73438     2.01356   0.0179967
         658     1.73257     2.01313   0.0179744
         659     1.73076      2.0127   0.0179522
         660     1.72896     2.01227   0.0179302
         661     1.72718     2.01184   0.0179082
         662     1.72541     2.01141   0.0178864
         663     1.72367     2.01098   0.0178647
         664     1.72194     2.01054   0.0178431
         665     1.72024      2.0101   0.0178216
         666     1.71856     2.00967   0.0178002
         667     1.71692     2.00923   0.0177789
         668      1.7153     2.00879   0.0177578
         669     1.71372     2.00835   0.0177367
         670     1.71217      2.0079   0.0177157
         671     1.71066     2.00746   0.0176949
         672      1.7092     2.00702   0.0176741
         673     1.70778     2.00657   0.0176534
         674     1.70641     2.00613   0.0176329
         675     1.70509     2.00568   0.0176124
         676     1.70382     2.00524    0.017592
         677     1.70261     2.00479   0.0175717
         678     1.70145     2.00434   0.0175515
         679     1.70035     2.00389   0.0175313
         680     1.69931     2.00345   0.0175113
         681     1.69834       2.003   0.0174913
         682     1.69743     2.00255   0.0174714
         683     1.69658      2.0021   0.0174515
         684      1.6958     2.00165   0.0174318
         685      1.6951     2.00121   0.0174121
         686     1.69446     2.00076   0.0173924
         687     1.69389     2.00031   0.0173728
         688      1.6934     1.99987   0.0173533
         689     1.69298     1.99942   0.0173338
         690     1.69264     1.99898   0.0173144
         691     1.69237     1.99853    0.017295
         692     1.69217     1.99809   0.0172757
         693     1.69205     1.99765   0.0172564
         694     1.69201     1.99721   0.0172372
         695     1.69204     1.99677    0.017218
         696     1.69215     1.99633   0.0171988
         697     1.69233     1.99589   0.0171797
         698     1.69258     1.99546   0.0171605
         699     1.69291     1.99503   0.0171414
         700     1.69332      1.9946   0.0171224
         701      1.6938     1.99417   0.0171033
         702     1.69434     1.99374   0.0170843
         703     1.69496     1.99332   0.0170653
         704     1.69565     1.99289   0.0170463
         705      1.6964     1.99247   0.0170273
         706     1.69723     1.99205   0.0170083
         707     1.69812     1.99164   0.0169893
         708     1.69907     1.99122   0.0169703
         709     1.70008     1.99081   0.0169514
         710     1.70115     1.99041   0.0169324
         711     1.70229        1.99   0.0169134
         712     1.70348      1.9896   0.0168945
         713     1.70472      1.9892   0.0168755
         714     1.70602      1.9888   0.0168565
         715     1.70737     1.98841   0.0168376
         716     1.70877     1.98802   0.0168186
         717     1.71021     1.98763   0.0167996
         718     1.71169     1.98725   0.0167806
         719     1.71322     1.98687   0.0167616
         720     1.71479     1.98649   0.0167425
         721      1.7164     1.98611   0.0167235
         722     1.71803     1.98574   0.0167045
         723     1.71971     1.98537   0.0166854
         724     1.72141     1.98501   0.0166663
         725     1.72314     1.98465   0.0166473
         726     1.72489     1.98429   0.0166282
         727     1.72666     1.98394   0.0166091
         728     1.72846     1.98358     0.01659
         729     1.73027     1.98324   0.0165709
         730     1.73209     1.98289   0.0165517
         731     1.73393     1.98255   0.0165326
