#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
        5357     1.40454     1.33375 0.000998421
        5358     1.40415     1.33376 0.000998321
        5359     1.40377     1.33377  0.00099822
        5360     1.40338     1.33379 0.000998118
        5361     1.40299      1.3338 0.000998016
        5362      1.4026     1.33381 0.000997912
        5363      1.4022     1.33383 0.000997807
        5364     1.40181     1.33384 0.000997702
        5365     1.40141     1.33385 0.000997595
        5366     1.40102     1.33386 0.000997488
        5367     1.40062     1.33388  0.00099738
        5368     1.40023     1.33389  0.00099727
        5369     1.39983      1.3339  0.00099716
        5370     1.39944     1.33391 0.000997049
        5371     1.39904     1.33392 0.000996937
        5372     1.39865     1.33394 0.000996825
        5373     1.39826     1.33395 0.000996711
        5374     1.39787     1.33396 0.000996597
        5375     1.39749     1.33397 0.000996481
        5376      1.3971     1.33398 0.000996365
        5377     1.39673       1.334 0.000996248
        5378     1.39635     1.33401  0.00099613
        5379     1.39598     1.33402 0.000996012
        5380     1.39561     1.33403 0.000995892
        5381     1.39525     1.33404 0.000995772
        5382     1.39489     1.33405 0.000995651
        5383     1.39454     1.33406  0.00099553
        5384      1.3942     1.33408 0.000995408
        5385     1.39386     1.33409 0.000995285
        5386     1.39352      1.3341 0.000995161
        5387      1.3932     1.33411 0.000995037
        5388     1.39288     1.33412 0.000994912
        5389     1.39257     1.33413 0.000994786
        5390     1.39226     1.33414  0.00099466
        5391     1.39197     1.33415 0.000994534
        5392     1.39168     1.33416 0.000994406
        5393      1.3914     1.33417 0.000994279
        5394     1.39112     1.33418  0.00099415
        5395     1.39086     1.33419 0.000994022
        5396     1.39061      1.3342 0.000993892
        5397     1.39036     1.33421 0.000993763
        5398     1.39012     1.33423 0.000993633
        5399     1.38989     1.33424 0.000993502
        5400     1.38968     1.33425 0.000993371
        5401     1.38947     1.33426  0.00099324
        5402     1.38927     1.33427 0.000993108
        5403     1.38907     1.33428 0.000992976
        5404     1.38889     1.33429 0.000992844
        5405     1.38872      1.3343 0.000992711
        5406     1.38855     1.33431 0.000992578
        5407      1.3884     1.33432 0.000992445
        5408     1.38825     1.33433 0.000992312
        5409     1.38811     1.33434 0.000992178
        5410     1.38798     1.33435 0.000992044
        5411     1.38786     1.33436  0.00099191
        5412     1.38775     1.33437 0.000991776
        5413     1.38764     1.33438 0.000991642
        5414     1.38755     1.33439 0.000991507
        5415     1.38746      1.3344 0.000991372
        5416     1.38737     1.33441 0.000991238
        5417      1.3873     1.33442 0.000991103
        5418     1.38723     1.33442 0.000990968
        5419     1.38716     1.33443 0.000990833
        5420     1.38711     1.33444 0.000990697
        5421     1.38705     1.33445 0.000990562
        5422     1.38701     1.33446 0.000990427
        5423     1.38696     1.33447 0.000990292
        5424     1.38693     1.33448 0.000990156
        5425     1.38689     1.33449 0.000990021
        5426     1.38686      1.3345 0.000989885
        5427     1.38684     1.33451  0.00098975
        5428     1.38681     1.33452 0.000989615
        5429     1.38679     1.33453 0.000989479
        5430     1.38677     1.33454 0.000989344
        5431     1.38676     1.33455 0.000989208
        5432     1.38674     1.33456 0.000989073
        5433     1.38673     1.33457 0.000988937
        5434     1.38671     1.33458 0.000988802
        5435      1.3867     1.33459 0.000988667
        5436     1.38669      1.3346 0.000988531
        5437     1.38667     1.33461 0.000988396
        5438     1.38666     1.33462  0.00098826
        5439     1.38664     1.33463 0.000988125
        5440     1.38663     1.33464 0.000987989
        5441     1.38661     1.33465 0.000987854
        5442     1.38659     1.33466 0.000987719
        5443     1.38657     1.33467 0.000987583
        5444     1.38654     1.33467 0.000987448
        5445     1.38651     1.33468 0.000987312
        5446     1.38648     1.33469 0.000987177
        5447     1.38645      1.3347 0.000987041
        5448     1.38642     1.33471 0.000986906
        5449     1.38638     1.33472  0.00098677
        5450     1.38633     1.33473 0.000986635
        5451     1.38629     1.33474 0.000986499
        5452     1.38624     1.33475 0.000986363
        5453     1.38618     1.33476 0.000986227
        5454     1.38613     1.33477 0.000986092
        5455     1.38606     1.33478 0.000985956
        5456       1.386     1.33479  0.00098582
        5457     1.38593      1.3348 0.000985683
        5458     1.38585     1.33481 0.000985547
        5459     1.38578     1.33482 0.000985411
        5460     1.38569     1.33483 0.000985275
        5461     1.38561     1.33484 0.000985138
        5462     1.38552     1.33484 0.000985001
        5463     1.38543     1.33485 0.000984865
        5464     1.38533     1.33486 0.000984728
        5465     1.38523     1.33487 0.000984591
        5466     1.38512     1.33488 0.000984453
        5467     1.38501     1.33489 0.000984316
        5468      1.3849      1.3349 0.000984178
        5469     1.38479     1.33491 0.000984041
        5470     1.38467     1.33492 0.000983903
        5471     1.38455     1.33493 0.000983765
        5472     1.38442     1.33494 0.000983627
        5473      1.3843     1.33494 0.000983488
        5474     1.38417     1.33495  0.00098335
        5475     1.38404     1.33496 0.000983211
        5476      1.3839     1.33497 0.000983072
        5477     1.38377     1.33498 0.000982933
        5478     1.38363     1.33499 0.000982794
        5479     1.38349       1.335 0.000982654
        5480     1.38335     1.33501 0.000982514
        5481      1.3832     1.33502 0.000982375
        5482     1.38306     1.33502 0.000982234
        5483     1.38291     1.33503 0.000982094
        5484     1.38276     1.33504 0.000981954
        5485     1.38262     1.33505 0.000981813
        5486     1.38247     1.33506 0.000981672
        5487     1.38232     1.33507 0.000981531
        5488     1.38217     1.33508  0.00098139
        5489     1.38201     1.33509 0.000981248
        5490     1.38186     1.33509 0.000981106
        5491     1.38171      1.3351 0.000980964
        5492     1.38156     1.33511 0.000980822
        5493      1.3814     1.33512  0.00098068
        5494     1.38125     1.33513 0.000980537
        5495     1.38109     1.33514 0.000980394
        5496     1.38094     1.33514 0.000980251
        5497     1.38079     1.33515 0.000980108
        5498     1.38063     1.33516 0.000979965
        5499     1.38048     1.33517 0.000979821
        5500     1.38032     1.33518 0.000979678
        5501     1.38017     1.33519 0.000979534
        5502     1.38001     1.33519  0.00097939
        5503     1.37986      1.3352 0.000979245
        5504      1.3797     1.33521 0.000979101
        5505     1.37955     1.33522 0.000978956
        5506      1.3794     1.33523 0.000978811
        5507     1.37924     1.33523 0.000978666
        5508     1.37909     1.33524 0.000978521
        5509     1.37893     1.33525 0.000978375
        5510     1.37878     1.33526 0.000978229
        5511     1.37862     1.33527 0.000978084
        5512     1.37847     1.33527 0.000977938
        5513     1.37831     1.33528 0.000977791
        5514     1.37816     1.33529 0.000977645
        5515     1.37801      1.3353 0.000977498
        5516     1.37785      1.3353 0.000977352
        5517      1.3777     1.33531 0.000977205
        5518     1.37754     1.33532 0.000977058
        5519     1.37739     1.33533  0.00097691
        5520     1.37724     1.33534 0.000976763
        5521     1.37708     1.33534 0.000976615
        5522     1.37693     1.33535 0.000976467
        5523     1.37678     1.33536 0.000976319
        5524     1.37663     1.33537 0.000976171
        5525     1.37648     1.33537 0.000976023
        5526     1.37633     1.33538 0.000975874
        5527     1.37618     1.33539 0.000975726
        5528     1.37603     1.33539 0.000975577
        5529     1.37588      1.3354 0.000975428
        5530     1.37573     1.33541 0.000975279
        5531     1.37559     1.33542 0.000975129
        5532     1.37545     1.33542  0.00097498
        5533     1.37531     1.33543  0.00097483
        5534     1.37517     1.33544 0.000974681
        5535     1.37503     1.33545 0.000974531
        5536      1.3749     1.33545 0.000974381
