#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         432     1.33502     1.37375   0.0228962
         433     1.33348     1.37366   0.0228435
         434     1.33196     1.37356   0.0227911
         435     1.33044     1.37346   0.0227389
         436     1.32893     1.37336    0.022687
         437     1.32744     1.37326   0.0226353
         438     1.32595     1.37315   0.0225839
         439     1.32448     1.37304   0.0225327
         440     1.32302     1.37292   0.0224818
         441     1.32157     1.37281   0.0224311
         442     1.32014     1.37269   0.0223807
         443     1.31873     1.37257   0.0223305
         444     1.31733     1.37244   0.0222805
         445     1.31596     1.37231   0.0222308
         446      1.3146     1.37218   0.0221814
         447     1.31326     1.37205   0.0221321
         448     1.31194     1.37192   0.0220831
         449     1.31065     1.37178   0.0220344
         450     1.30938     1.37164   0.0219858
         451     1.30814      1.3715   0.0219375
         452     1.30692     1.37136   0.0218895
         453     1.30574     1.37122   0.0218416
         454     1.30458     1.37107    0.021794
         455     1.30345     1.37092   0.0217466
         456     1.30236     1.37077   0.0216995
         457     1.30129     1.37062   0.0216525
         458     1.30026     1.37046   0.0216058
         459     1.29926     1.37031   0.0215593
         460      1.2983     1.37015    0.021513
         461     1.29737     1.36999   0.0214669
         462     1.29648     1.36984    0.021421
         463     1.29562     1.36967   0.0213753
         464      1.2948     1.36951   0.0213299
         465     1.29402     1.36935   0.0212846
         466     1.29328     1.36919   0.0212396
         467     1.29258     1.36902   0.0211947
         468     1.29192     1.36886   0.0211501
         469     1.29129     1.36869   0.0211056
         470     1.29071     1.36853   0.0210614
         471     1.29016     1.36836   0.0210173
         472     1.28966     1.36819   0.0209734
         473     1.28919     1.36803   0.0209298
         474     1.28877     1.36786   0.0208863
         475     1.28839     1.36769    0.020843
         476     1.28804     1.36753   0.0207999
         477     1.28774     1.36736   0.0207569
         478     1.28747     1.36719   0.0207142
         479     1.28724     1.36702   0.0206716
         480     1.28705     1.36686   0.0206292
         481      1.2869     1.36669    0.020587
         482     1.28678     1.36653    0.020545
         483      1.2867     1.36636   0.0205031
         484     1.28665      1.3662   0.0204614
         485     1.28665     1.36603   0.0204199
         486     1.28667     1.36587   0.0203785
         487     1.28674     1.36571   0.0203373
         488     1.28683     1.36554   0.0202963
         489     1.28696     1.36538   0.0202554
         490     1.28713     1.36522   0.0202147
         491     1.28733     1.36507   0.0201741
         492     1.28756     1.36491   0.0201337
         493     1.28783     1.36475   0.0200935
         494     1.28812      1.3646   0.0200534
         495     1.28845     1.36444   0.0200135
         496     1.28881     1.36429   0.0199737
         497      1.2892     1.36414   0.0199341
         498     1.28963     1.36399   0.0198947
         499     1.29008     1.36384   0.0198553
         500     1.29057     1.36369   0.0198162
         501     1.29109     1.36355   0.0197771
         502     1.29164     1.36341   0.0197383
         503     1.29222     1.36326   0.0196995
         504     1.29284     1.36313   0.0196609
         505     1.29348     1.36299   0.0196225
         506     1.29416     1.36285   0.0195842
         507     1.29487     1.36272    0.019546
         508     1.29561     1.36259    0.019508
         509     1.29639     1.36246   0.0194701
         510      1.2972     1.36233   0.0194323
         511     1.29805      1.3622   0.0193947
         512     1.29893     1.36208   0.0193572
         513     1.29985     1.36196   0.0193199
         514     1.30081     1.36184   0.0192827
         515     1.30181     1.36172   0.0192456
         516     1.30284     1.36161   0.0192086
         517     1.30392      1.3615   0.0191718
         518     1.30503     1.36139   0.0191351
         519     1.30619     1.36128   0.0190985
         520     1.30739     1.36118   0.0190621
         521     1.30863     1.36108   0.0190257
         522     1.30991     1.36098   0.0189895
         523     1.31124     1.36088   0.0189535
         524     1.31261     1.36079   0.0189175
         525     1.31402      1.3607   0.0188817
         526     1.31548     1.36062    0.018846
         527     1.31698     1.36053   0.0188104
         528     1.31853     1.36045    0.018775
         529     1.32012     1.36038   0.0187396
         530     1.32175      1.3603   0.0187044
         531     1.32343     1.36023   0.0186693
         532     1.32514     1.36017   0.0186343
         533      1.3269     1.36011   0.0185995
         534      1.3287     1.36005   0.0185647
         535     1.33054     1.35999   0.0185301
         536     1.33242     1.35994   0.0184956
         537     1.33434     1.35989   0.0184612
         538     1.33629     1.35985    0.018427
         539     1.33827     1.35981   0.0183928
         540     1.34029     1.35977   0.0183588
         541     1.34233     1.35974   0.0183249
         542     1.34441     1.35971   0.0182911
         543     1.34651     1.35969   0.0182575
         544     1.34864     1.35967   0.0182239
         545     1.35078     1.35965   0.0181905
         546     1.35295     1.35964   0.0181572
         547     1.35514     1.35963    0.018124
         548     1.35734     1.35963   0.0180909
         549     1.35955     1.35963   0.0180579
         550     1.36177     1.35963   0.0180251
         551       1.364     1.35964   0.0179924
         552     1.36622     1.35965   0.0179598
         553     1.36845     1.35967   0.0179273
         554     1.37067     1.35969    0.017895
         555     1.37289     1.35971   0.0178628
         556      1.3751     1.35974   0.0178307
         557     1.37729     1.35977   0.0177987
         558     1.37946      1.3598   0.0177668
         559     1.38162     1.35984   0.0177351
         560     1.38376     1.35989   0.0177034
         561     1.38587     1.35993    0.017672
         562     1.38796     1.35998   0.0176406
         563     1.39001     1.36004   0.0176093
         564     1.39204     1.36009   0.0175782
         565     1.39403     1.36015   0.0175472
         566     1.39598     1.36022   0.0175163
         567      1.3979     1.36028   0.0174855
         568     1.39978     1.36035   0.0174549
         569     1.40162     1.36042   0.0174244
