#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         586    0.895858    0.856598   0.0107321
         587     0.89655    0.856666    0.010714
         588    0.897214    0.856735    0.010696
         589    0.897849    0.856805   0.0106781
         590    0.898457    0.856875   0.0106602
         591    0.899039    0.856947   0.0106424
         592    0.899595    0.857019   0.0106247
         593    0.900127    0.857091    0.010607
         594    0.900634    0.857165   0.0105894
         595     0.90112    0.857239   0.0105719
         596    0.901583    0.857313   0.0105544
         597    0.902026    0.857388    0.010537
         598     0.90245    0.857463   0.0105197
         599    0.902856    0.857539   0.0105024
         600    0.903246    0.857615   0.0104851
         601     0.90362    0.857692    0.010468
         602     0.90398    0.857769   0.0104509
         603    0.904328    0.857846   0.0104338
         604    0.904664    0.857923   0.0104168
         605    0.904989    0.858001   0.0103999
         606    0.905304    0.858079    0.010383
         607    0.905609    0.858158   0.0103662
         608    0.905905    0.858236   0.0103495
         609    0.906193    0.858315   0.0103328
         610    0.906475    0.858394   0.0103161
         611    0.906751    0.858473   0.0102996
         612    0.907023    0.858552    0.010283
         613     0.90729    0.858632   0.0102666
         614    0.907554    0.858711   0.0102502
         615    0.907816    0.858791   0.0102338
         616    0.908074    0.858871   0.0102175
         617    0.908331    0.858951   0.0102013
         618    0.908586    0.859032   0.0101851
         619    0.908842    0.859112   0.0101689
         620    0.909097    0.859193   0.0101529
         621    0.909353    0.859274   0.0101368
         622     0.90961    0.859355   0.0101209
         623    0.909868    0.859436   0.0101049
         624    0.910127    0.859517   0.0100891
         625    0.910389    0.859598   0.0100732
         626    0.910653     0.85968   0.0100575
         627    0.910919    0.859762   0.0100418
         628    0.911189    0.859843   0.0100261
         629    0.911463    0.859925   0.0100105
         630    0.911741    0.860008  0.00999497
         631    0.912022     0.86009  0.00997947
         632    0.912309    0.860173  0.00996402
         633      0.9126    0.860256  0.00994862
         634    0.912898    0.860339  0.00993328
         635    0.913202    0.860422  0.00991798
         636    0.913511    0.860505  0.00990274
         637    0.913825    0.860589  0.00988755
         638    0.914146    0.860673  0.00987241
         639    0.914473    0.860757  0.00985731
         640    0.914808    0.860842  0.00984227
         641     0.91515    0.860926  0.00982728
         642    0.915499    0.861011  0.00981234
         643    0.915855    0.861097  0.00979746
         644    0.916218    0.861182  0.00978262
         645    0.916589    0.861268  0.00976783
         646    0.916966    0.861354  0.00975309
         647     0.91735    0.861441   0.0097384
         648    0.917741    0.861528  0.00972376
         649    0.918138    0.861615  0.00970916
         650    0.918541    0.861703  0.00969462
         651     0.91895    0.861791  0.00968013
         652    0.919363    0.861879  0.00966568
         653    0.919782    0.861968  0.00965129
         654    0.920206    0.862057  0.00963694
         655    0.920635    0.862146  0.00962264
         656    0.921067    0.862236   0.0096084
         657    0.921504    0.862326  0.00959419
         658    0.921945    0.862417  0.00958004
         659    0.922389    0.862508  0.00956594
         660    0.922834    0.862599  0.00955188
         661    0.923281    0.862691  0.00953787
         662     0.92373    0.862783  0.00952391
         663     0.92418    0.862876  0.00950999
         664     0.92463    0.862969  0.00949613
         665    0.925079    0.863062   0.0094823
         666    0.925526    0.863156  0.00946853
         667     0.92597     0.86325   0.0094548
         668     0.92641    0.863345  0.00944112
         669    0.926847     0.86344  0.00942749
         670    0.927278    0.863535   0.0094139
         671    0.927704     0.86363  0.00940035
         672    0.928122    0.863726  0.00938685
         673    0.928533    0.863823   0.0093734
         674    0.928937    0.863919  0.00935999
         675    0.929332    0.864016  0.00934663
         676    0.929717    0.864113  0.00933331
         677    0.930091    0.864211  0.00932003
         678    0.930453    0.864309  0.00930679
         679    0.930804    0.864406   0.0092936
         680    0.931142    0.864505  0.00928045
         681    0.931467    0.864603  0.00926735
         682    0.931777    0.864701  0.00925428
         683    0.932073      0.8648  0.00924126
         684    0.932355    0.864899  0.00922828
         685     0.93262    0.864998  0.00921533
         686    0.932869    0.865097  0.00920243
         687    0.933102    0.865196  0.00918957
         688    0.933316    0.865295  0.00917674
         689    0.933513    0.865394  0.00916396
         690    0.933694    0.865493  0.00915121
         691    0.933857    0.865592   0.0091385
         692    0.934002     0.86569  0.00912583
         693     0.93413    0.865789   0.0091132
         694    0.934239    0.865888   0.0091006
         695     0.93433    0.865986  0.00908804
         696    0.934402    0.866085  0.00907551
         697    0.934456    0.866183  0.00906302
         698    0.934492    0.866281  0.00905057
         699    0.934507    0.866378  0.00903815
         700    0.934504    0.866475  0.00902576
         701    0.934481    0.866573   0.0090134
         702     0.93444    0.866669  0.00900108
         703    0.934379    0.866765  0.00898879
         704    0.934299    0.866861  0.00897654
         705    0.934202    0.866957  0.00896431
         706    0.934086    0.867052  0.00895212
         707    0.933953    0.867147  0.00893996
         708    0.933802    0.867241  0.00892783
         709    0.933634    0.867334  0.00891573
         710    0.933449    0.867428  0.00890365
         711    0.933247     0.86752  0.00889161
         712    0.933027    0.867612   0.0088796
         713    0.932789    0.867704  0.00886762
         714    0.932532    0.867794  0.00885566
         715    0.932258    0.867885  0.00884374
         716    0.931967    0.867974  0.00883184
         717    0.931658    0.868063  0.00881997
         718    0.931331    0.868151  0.00880812
         719    0.930986    0.868238  0.00879631
         720    0.930624    0.868325  0.00878451
         721    0.930244    0.868411  0.00877275
         722    0.929847    0.868496  0.00876101
         723    0.929434     0.86858   0.0087493
         724    0.929003    0.868664  0.00873761
         725    0.928555    0.868746  0.00872595
         726     0.92809    0.868828  0.00871432
         727    0.927609    0.868909   0.0087027
         728     0.92711    0.868989  0.00869112
         729    0.926594    0.869068  0.00867955
         730    0.926061    0.869146  0.00866802
         731    0.925512    0.869223   0.0086565
         732    0.924946    0.869299  0.00864501
